Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     21.61     0.00       13     0.00     0.00  check_readonly
  0.00     21.61     0.00       13     0.00     0.00  luaK_reserveregs
  0.00     21.61     0.00       13     0.00     0.00  luaK_storevar
  0.00     21.61     0.00       13     0.00     0.00  luaL_getsubtable
  0.00     21.61     0.00       13     0.00     0.00  lua_tolstring
  0.00     21.61     0.00       12     0.00     0.00  luaH_getint
  0.00     21.61     0.00       12     0.00     0.00  prepbuffsize
  0.00     21.61     0.00       11     0.00     0.00  luaS_hashlongstr
  0.00     21.61     0.00       11     0.00     0.00  lua_setglobal
  0.00     21.61     0.00       11     0.00     0.00  lua_toboolean
  0.00     21.61     0.00       11     0.00     0.00  removevalues
  0.00     21.61     0.00       10     0.00     0.00  codeABRK
  0.00     21.61     0.00       10     0.00     0.00  luaK_setreturns
  0.00     21.61     0.00       10     0.00     0.00  luaL_checkversion_
  0.00     21.61     0.00       10     0.00     0.00  luaL_requiref
  0.00     21.61     0.00       10     0.00     0.00  lua_callk
  0.00     21.61     0.00       10     0.00     0.00  lua_touserdata
  0.00     21.61     0.00       10     0.00     0.00  lua_version
  0.00     21.61     0.00        9     0.00     0.00  freeexps
  0.00     21.61     0.00        9     0.00     0.00  luaD_rawrunprotected
  0.00     21.61     0.00        9     0.00     0.00  luaK_codeABx
  0.00     21.61     0.00        9     0.00     0.00  luaK_infix
  0.00     21.61     0.00        9     0.00     0.00  luaK_posfix
  0.00     21.61     0.00        9     0.00     0.00  luaL_checkudata
  0.00     21.61     0.00        9     0.00     0.00  luaL_prepbuffsize
  0.00     21.61     0.00        9     0.00     0.00  luaL_testudata
  0.00     21.61     0.00        9     0.00     0.00  lua_rawequal
  0.00     21.61     0.00        8     0.00     0.00  lua_gettop
  0.00     21.61     0.00        8     0.00     0.00  lua_pushnumber
  0.00     21.61     0.00        7     0.00     0.00  constfolding
  0.00     21.61     0.00        7     0.00     0.00  finishbinexpval
  0.00     21.61     0.00        7     0.00     0.00  getgeneric
  0.00     21.61     0.00        7     0.00     0.00  luaD_pcall
  0.00     21.61     0.00        7     0.00     0.00  luaF_newCclosure
  0.00     21.61     0.00        6     0.00     0.00  close_func
  0.00     21.61     0.00        6     0.00     0.00  luaF_freeproto
  0.00     21.61     0.00        6     0.00     0.00  luaF_newproto
  0.00     21.61     0.00        6     0.00     0.00  luaH_setint
  0.00     21.61     0.00        6     0.00     0.00  luaK_finish
  0.00     21.61     0.00        6     0.00     0.00  luaL_callmeta
  0.00     21.61     0.00        6     0.00     0.00  luaL_tolstring
  0.00     21.61     0.00        6     0.00     0.00  luaO_pushvfstring
  0.00     21.61     0.00        6     0.00     0.00  luaT_gettm
  0.00     21.61     0.00        6     0.00     0.00  lua_pushfstring
  0.00     21.61     0.00        6     0.00     0.00  lua_rawseti
  0.00     21.61     0.00        6     0.00     0.00  lua_tointegerx
  0.00     21.61     0.00        6     0.00     0.00  lua_type
  0.00     21.61     0.00        6     0.00     0.00  open_func
  0.00     21.61     0.00        6     0.00     0.00  os_clock
  0.00     21.61     0.00        6     0.00     0.00  patchlistaux
  0.00     21.61     0.00        6     0.00     0.00  pushstr
  0.00     21.61     0.00        5     0.00     0.00  body
  0.00     21.61     0.00        5     0.00     0.00  fieldsel
  0.00     21.61     0.00        5     0.00     0.00  luaK_setoneret
  0.00     21.61     0.00        5     0.00     0.00  lua_pushinteger
  0.00     21.61     0.00        5     0.00     0.00  lua_setmetatable
  0.00     21.61     0.00        5     0.00     0.00  restassign
  0.00     21.61     0.00        4     0.00     3.09  GCTM
  0.00     21.61     0.00        4     0.00     0.00  allocupvalue
  0.00     21.61     0.00        4     0.00     0.00  check_next2
  0.00     21.61     0.00        4     0.00     0.00  codearith
  0.00     21.61     0.00        4     0.00     0.00  finishbinexpneg
  0.00     21.61     0.00        4     0.00     0.00  luaC_checkfinalizer
  0.00     21.61     0.00        4     0.00     0.00  luaK_getlabel
  0.00     21.61     0.00        4     0.00     0.00  luaK_patchtohere
  0.00     21.61     0.00        4     0.00     0.00  luaT_adjustvarargs
  0.00     21.61     0.00        4     0.00     0.00  luaT_gettmbyobj
